Book Name,Author Name,Location,Latitude,Longitude
The God Of Small Things,Arundhati Roy,Africa,8.7832° S,34.5085° E
The God Of Small Things,Arundhati Roy,Africa,8.7832° S,34.5085° E
The God Of Small Things,Arundhati Roy,Africa,8.7832° S,34.5085° E
The God Of Small Things,Arundhati Roy,Africa,8.7832° S,34.5085° E
The God Of Small Things,Arundhati Roy,Africa,8.7832° S,34.5085° E
The God Of Small Things,Arundhati Roy,Alleppey,9.4981° N,76.3388° E
The God Of Small Things,Arundhati Roy,Alleppey,9.4981° N,76.3388° E
The God Of Small Things,Arundhati Roy,Alleppey,9.4981° N,76.3388° E
The God Of Small Things,Arundhati Roy,Ammal,36.6310° N,3.5914° E
The God Of Small Things,Arundhati Roy,Ammal,36.6310° N,3.5914° E
The God Of Small Things,Arundhati Roy,Assam,26.2006° N,92.9376° E
The God Of Small Things,Arundhati Roy,Assam,26.2006° N,92.9376° E
The God Of Small Things,Arundhati Roy,Assam,26.2006° N,92.9376° E
The God Of Small Things,Arundhati Roy,Assam,26.2006° N,92.9376° E
The God Of Small Things,Arundhati Roy,Assam,26.2006° N,92.9376° E
The God Of Small Things,Arundhati Roy,Australia,25.2744° S,133.7751° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Ayemenem,10.8505° N,76.2711° E
The God Of Small Things,Arundhati Roy,Bavaria,48.7904° N,11.4979° E
The God Of Small Things,Arundhati Roy,Bengal,22.9868° N,87.8550° E
The God Of Small Things,Arundhati Roy,Bengal,22.9868° N,87.8550° E
The God Of Small Things,Arundhati Roy,Bengal,22.9868° N,87.8550° E
The God Of Small Things,Arundhati Roy,Boston,42.3601° N,71.0589° W
The God Of Small Things,Arundhati Roy,Buckingham Palace,51.5014° N, 0.1419° W
The God Of Small Things,Arundhati Roy,Cambridge,52.2053° N, 0.1218° E
The God Of Small Things,Arundhati Roy,Canada,56.1304° N, 106.3468° W
The God Of Small Things,Arundhati Roy,Canada,56.1304° N, 106.3468° W
The God Of Small Things,Arundhati Roy,Canada,56.1304° N, 106.3468° W
The God Of Small Things,Arundhati Roy,Canada,56.1304° N, 106.3468° W
The God Of Small Things,Arundhati Roy,Canada,56.1304° N, 106.3468° W
The God Of Small Things,Arundhati Roy,Canada,56.1304° N, 106.3468° W
The God Of Small Things,Arundhati Roy,Canada,56.1304° N, 106.3468° W
The God Of Small Things,Arundhati Roy,China,35.8617° N, 104.1954° E
The God Of Small Things,Arundhati Roy,Chungam Bridge,9.6014° N, 76.5177° E
The God Of Small Things,Arundhati Roy,Chungam Bridge,9.6014° N, 76.5177° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
The God Of Small Things,Arundhati Roy,Cochin,9.9312° N, 76.2673° E
