Source,Target,Type,id,label,weight
0,1,Directed,0,speaks to,11
0,8,Directed,1,speaks to,4
0,18,Directed,2,speaks to,4
1,0,Directed,3,speaks to,19
1,1,Directed,4,speaks to,7
1,2,Directed,5,speaks to,33
1,3,Directed,6,speaks to,18
1,4,Directed,7,speaks to,30
1,5,Directed,8,speaks to,16
1,6,Directed,9,speaks to,35
1,8,Directed,10,speaks to,96
1,11,Directed,11,speaks to,40
1,12,Directed,12,speaks to,29
1,13,Directed,13,speaks to,21
1,14,Directed,14,speaks to,2
1,15,Directed,15,speaks to,4
1,17,Directed,16,speaks to,3
1,18,Directed,17,speaks to,17
1,20,Directed,18,speaks to,6
1,22,Directed,19,speaks to,8
1,29,Directed,20,speaks to,19
1,32,Directed,21,speaks to,1
1,39,Directed,22,speaks to,1
1,40,Directed,23,speaks to,4
2,1,Directed,24,speaks to,33
2,3,Directed,25,speaks to,13
2,4,Directed,26,speaks to,6
2,5,Directed,27,speaks to,5
2,6,Directed,28,speaks to,4
2,11,Directed,29,speaks to,6
2,12,Directed,30,speaks to,6
2,14,Directed,31,speaks to,3
2,40,Directed,32,speaks to,2
3,1,Directed,33,speaks to,22
3,2,Directed,34,speaks to,23
3,3,Directed,35,speaks to,4
3,4,Directed,36,speaks to,4
3,5,Directed,37,speaks to,36
3,6,Directed,38,speaks to,15
3,8,Directed,39,speaks to,6
3,9,Directed,40,speaks to,4
3,10,Directed,41,speaks to,3
3,11,Directed,42,speaks to,10
3,12,Directed,43,speaks to,8
3,13,Directed,44,speaks to,5
3,26,Directed,45,speaks to,4
3,32,Directed,46,speaks to,6
3,40,Directed,47,speaks to,2
4,1,Directed,48,speaks to,27
4,2,Directed,49,speaks to,6
4,3,Directed,50,speaks to,4
4,4,Directed,51,speaks to,2
4,5,Directed,52,speaks to,9
4,6,Directed,53,speaks to,11
5,1,Directed,54,speaks to,12
5,2,Directed,55,speaks to,4
5,3,Directed,56,speaks to,24
5,4,Directed,57,speaks to,10
5,6,Directed,58,speaks to,3
5,13,Directed,59,speaks to,2
5,31,Directed,60,speaks to,4
5,36,Directed,61,speaks to,3
5,40,Directed,62,speaks to,1
6,1,Directed,63,speaks to,32
6,2,Directed,64,speaks to,6
6,3,Directed,65,speaks to,18
6,4,Directed,66,speaks to,12
6,5,Directed,67,speaks to,2
6,7,Directed,68,speaks to,14
6,11,Directed,69,speaks to,2
6,12,Directed,70,speaks to,2
6,22,Directed,71,speaks to,3
6,23,Directed,72,speaks to,1
6,24,Directed,73,speaks to,1
6,25,Directed,74,speaks to,1
6,40,Directed,75,speaks to,5
7,6,Directed,76,speaks to,13
8,0,Directed,77,speaks to,3
8,1,Directed,78,speaks to,85
8,2,Directed,79,speaks to,1
8,13,Directed,80,speaks to,3
8,14,Directed,81,speaks to,2
8,17,Directed,82,speaks to,9
8,18,Directed,83,speaks to,11
8,19,Directed,84,speaks to,2
8,27,Directed,85,speaks to,1
8,28,Directed,86,speaks to,3
9,3,Directed,87,speaks to,2
10,3,Directed,88,speaks to,1
11,1,Directed,89,speaks to,36
11,2,Directed,90,speaks to,4
11,3,Directed,91,speaks to,7
11,6,Directed,92,speaks to,1
11,12,Directed,93,speaks to,1
12,1,Directed,94,speaks to,23
12,2,Directed,95,speaks to,3
12,3,Directed,96,speaks to,4
13,1,Directed,97,speaks to,24
13,5,Directed,98,speaks to,4
14,1,Directed,99,speaks to,1
14,2,Directed,100,speaks to,2
14,8,Directed,101,speaks to,1
15,1,Directed,102,speaks to,3
16,8,Directed,103,speaks to,1
16,17,Directed,104,speaks to,7
16,18,Directed,105,speaks to,2
17,1,Directed,106,speaks to,4
17,8,Directed,107,speaks to,10
17,15,Directed,108,speaks to,6
17,18,Directed,109,speaks to,2
18,1,Directed,110,speaks to,18
18,8,Directed,111,speaks to,15
18,16,Directed,112,speaks to,2
18,17,Directed,113,speaks to,4
19,8,Directed,114,speaks to,4
19,20,Directed,115,speaks to,2
20,1,Directed,116,speaks to,6
20,18,Directed,117,speaks to,1
22,1,Directed,118,speaks to,5
22,6,Directed,119,speaks to,2
23,1,Directed,120,speaks to,4
23,2,Directed,121,speaks to,4
23,3,Directed,122,speaks to,4
23,4,Directed,123,speaks to,4
23,6,Directed,124,speaks to,4
23,8,Directed,125,speaks to,4
23,11,Directed,126,speaks to,4
23,12,Directed,127,speaks to,4
24,1,Directed,128,speaks to,5
24,2,Directed,129,speaks to,5
24,3,Directed,130,speaks to,5
24,4,Directed,131,speaks to,5
24,6,Directed,132,speaks to,5
24,8,Directed,133,speaks to,5
24,11,Directed,134,speaks to,5
24,12,Directed,135,speaks to,5
25,1,Directed,136,speaks to,1
25,2,Directed,137,speaks to,1
25,3,Directed,138,speaks to,1
25,4,Directed,139,speaks to,1
25,6,Directed,140,speaks to,1
25,8,Directed,141,speaks to,1
25,11,Directed,142,speaks to,1
25,12,Directed,143,speaks to,1
26,3,Directed,144,speaks to,2
27,8,Directed,145,speaks to,1
28,8,Directed,146,speaks to,2
29,1,Directed,147,speaks to,18
29,30,Directed,148,speaks to,13
30,29,Directed,149,speaks to,12
31,5,Directed,150,speaks to,2
32,5,Directed,151,speaks to,1
36,5,Directed,152,speaks to,2
