id,label
0,Ghost
1,Hamlet
2,Gertrude
3,Claudius
4,Ophelia
5,Laertes
6,Polonius
7,Reynaldo
8,Horatio
9,Voltemand
10,Cornelius
11,Rosencrantz
12,Guildenstern
13,Osric
14,Gentlemen
15,A Lord
16,Francisco
17,Barnardo
18,Marcellus
19,Fortinbras
20,Captain
21,English Ambassadors
22,Player 1
23,Player King
24,Player Queen
25,Lucianus
26,Messenger1
27,Ambassador
28,Sailors
29,Gravedigger1
30,Gravedigger2
31,Doctor
32,Attendants
33,Lords
34,Guards
35,Musicians
36,Laertes's Followers
37,Soldiers
38,Officers
39,Yorick
40,Aside
41,Soliloquy
